#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
1	1	3.54255e-08	0	0	26.0683	-65.6078	0.0317098	70895.6	28169.3	-138.109	70.597	2.08501e-08	0.00186528	2	0.00154109	0	0	103688
3	1	3.16884e-08	0	0	-5.90508	-85.3586	-0.531269	69129.1	-4782.45	19.9571	85.5643	6.38133e-08	0.00621571	2	0.00154109	0	0	78914.6
8	1	5.24464e-08	0	0	115.02	2.25473	0.244362	-1171.63	59748.8	179.277	115.043	3.86194e-08	0.00367579	4	0.00308217	0	0	31085.7
6	1	7.81879e-08	0	0	-15.2792	-255.725	-0.249104	39975.7	-2388.83	53.5747	256.18	7.20738e-06	0.00165385	8	0.00616435	0	0	31010.2
9	1	6.5688e-08	0	0	179.639	61.2223	0.157729	-15009.4	44040.3	125.05	189.785	2.47447e-08	0.00281321	8	0.00616435	0	0	31832.6
5	1	8.03466e-08	0	0	-153.96	219.049	-0.663008	-32048.5	-22525.1	71.5525	267.741	1.00445e-05	0.00307709	16	0.0123287	0	0	30923.5
2	1	5.66864e-08	0	3.0035e-09	-458.76	147.675	-0.213902	-8946.51	-27792.9	-96.1086	481.942	2.20414e-08	0.00332146	32	0.0246574	0	0	59138.1
10	1	5.1735e-08	0	3.0035e-09	-70.1438	-433.648	-1.48306	30189.7	-4882.86	-122.312	439.287	3.15703e-08	0.00523388	32	0.0246574	0	0	61617.1
4	1	3.75307e-08	1.2014e-08	6.007e-09	222.007	-990.142	1.14764	19634.4	4402.34	-31.8126	1014.73	5.85853e-10	0.00194388	64	0.0493148	0	0	128698
7	1	3.06523e-08	1.2014e-08	6.007e-09	1180.03	-1253.66	7.75248	11248.3	10588.1	62.7706	1721.68	7.97755e-10	0.00606526	256	0.197259	0	0	205248
