#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
1	1	3.54255e-08	0	0	-17.8291	-68.3193	0.102589	73809.4	-19262	-62.9283	70.6074	6.39367e-09	0.0016708	2	0.00154109	0	0	103658
3	1	3.16884e-08	0	0	39.3376	76.0241	0.487659	-61531	31837.2	179.245	85.6	8.24768e-09	0.00625697	2	0.00154109	0	0	78848.8
8	1	5.24443e-08	0	0	108.846	-38.1674	0.109907	19748.6	56319.9	219.651	115.344	2.41945e-09	0.00380169	4	0.00308217	0	0	31243.1
6	1	7.44845e-08	0	0	226.168	-121.307	-0.0809513	18911.4	35259.2	37.4371	256.646	4.00206e-06	0.000987413	8	0.00616435	0	0	32767.1
9	1	6.18568e-08	0	0	174.022	76.7014	0.194342	-18746.4	42531.8	122.986	190.175	1.27908e-09	0.00283648	8	0.00616435	0	0	34011
5	1	4.85014e-08	0	0	-112.851	243.283	-0.911208	-35506.4	-16470.3	5.54369	268.182	6.47179e-06	0.00340065	16	0.0123287	0	0	51571.3
2	1	3.45671e-08	0	3.0035e-09	-446.544	-182.011	-1.20674	11017.6	-27030	-67.5863	482.215	1.52009e-08	0.00340938	32	0.0246574	0	0	96854.1
10	1	3.37951e-08	0	3.0035e-09	257.271	-356.376	-2.26865	24788.8	17895.4	-16.0389	439.542	1.58372e-08	0.005188	32	0.0246574	0	0	94202.3
4	1	3.12755e-08	1.2014e-08	6.007e-09	-802.388	-621.484	1.94101	12320.4	-15906.6	7.12523	1014.92	5.83105e-10	0.00194498	64	0.0493148	0	0	154371
7	1	3.01412e-08	1.2014e-08	6.007e-09	-765.605	-1542.27	-3.86861	13835.8	-6868.49	87.0472	1721.85	4.3065e-10	0.00606662	256	0.197259	0	0	208686
