#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
1	1	3.54255e-08	0	0	64.0982	29.6057	-0.11578	-31986.5	69252.5	-40.4709	70.6052	3.15216e-08	0.00172352	2	0.00154109	0	0	103664
3	1	3.16884e-08	0	0	-54.3016	66.1607	0.388653	-53554.8	-43953.6	-297.042	85.5924	3.81481e-08	0.00624503	2	0.00154109	0	0	78862.8
8	1	5.24464e-08	0	0	-82.5636	80.4507	0.077647	-41663.1	-42757.1	-220.785	115.278	2.84673e-09	0.00375911	4	0.00308217	0	0	31277.5
6	1	7.81756e-08	0	0	191.103	-171.136	-0.0877382	26697.8	29812.7	42.796	256.529	7.13317e-06	0.00112274	8	0.00616435	0	0	31249.3
9	1	6.55971e-08	0	0	-190.056	2.98069	0.0309988	-729.066	-46485.9	-131.203	190.08	1.04761e-07	0.00282678	8	0.00616435	0	0	32105.2
5	1	6.90868e-08	0	0	-53.1338	-262.762	0.794466	38371.6	-7758.73	59.7978	268.083	1.04417e-05	0.00333403	16	0.0123287	0	0	35868.6
2	1	4.27136e-08	0	3.0035e-09	457.295	152.838	1.12739	-9253.24	27685.4	71.5557	482.161	2.89487e-08	0.00338764	32	0.0246574	0	0	78404.4
10	1	4.04472e-08	0	3.0035e-09	-429.812	-91.7216	1.11966	6380.63	-29901.7	-138.533	439.491	3.40311e-08	0.00519806	32	0.0246574	0	0	78732.4
4	1	3.34724e-08	1.2014e-08	6.007e-09	-748.395	685.489	-0.0251208	-13590	-14837.1	39.1227	1014.88	5.63931e-10	0.00194459	64	0.0493148	0	0	144253
7	1	3.03246e-08	1.2014e-08	6.007e-09	-1567.76	-711.823	-9.12765	6385.95	-14065.4	45.5494	1721.81	1.74179e-10	0.00606613	256	0.197259	0	0	207432
