#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
61	0	6.53858e-08	0	0	-76.1399	78.7103	-0.340731	-38076.3	-45370.9	507.126	102.846	0.122038	0.00884885	2	0.00154109	0	0	23653.1
114	0	2.94687e-08	0	0	-64.9707	96.8368	0.835524	-42188	-34639	301.413	101.033	0.181224	0.00950175	2	0.00154109	0	0	51911.3
127	1	1.56223e-06	0	0	-74.3795	-11.9034	-0.0191395	11877.9	-73050.1	-16.4076	75.6457	0.00490941	0.000337628	2	0.00154109	0	132291	852.203
123	0	3.91425e-08	0	0	74.2583	93.1019	-0.920325	-51436.3	32166.2	-557.649	127.632	0.132038	0.0127491	2	0.00154109	0	0	44083.9
58	0	4.08567e-08	0	0	-85.762	-120.431	-2.51398	37302.8	-31146.2	110.223	128.576	0.168144	0.0173759	2	0.00154109	0	0	42099.1
42	0	2.62633e-08	0	0	11.6834	-135.33	-0.0600011	51716.5	2298.58	16.315	121.933	0.121289	0.000553703	2	0.00154109	0	0	64140.5
98	0	8.15295e-09	0	0	126.492	-8.67398	-0.173796	2893.31	60752.8	671.546	147.728	0.143234	0.0110995	2	0.00154109	0	0	225721
195	0	4.75805e-08	0	0	-107.948	16.7502	7.31817	-16322	-63189.6	3622.8	127.091	0.171455	0.0828913	2	0.00154109	0	0	35744.8
201	1	2.08116e-07	0	0	-131.911	-111.157	-0.276437	32017.5	-32196.8	88.5826	152.07	0.157163	0.00242887	2	0.00154109	34298.6	0	9061.47
102	0	4.5128e-07	0	0	34.319	176.009	-0.489812	-45996.9	5048.35	36.012	168.31	0.105678	0.00278686	2	0.00154109	0	596782	4401.19
92	0	1.51775e-08	0	0	61.5417	-170.516	1.15418	47373.5	12372	430.972	192.422	0.107579	0.0104271	2	0.00154109	0	0	139453
167	0	5.533e-07	0	0	-76.8549	149.015	-0.191249	-44323.4	-14941.8	-201.023	151.44	0.184007	0.00432667	2	0.00154109	0	511432	3403.53
118	0	2.49162e-08	0	0	-57.1467	-173.256	1.01098	44146.9	-21583.6	-17.1565	196.658	0.153449	0.00565179	2	0.00154109	0	0	85173.9
9	1	2.46584e-07	0	0	158.977	-162.378	1.46205	30700.3	26919.9	-73.4985	210.836	0.0951602	0.00678553	2	0.00154109	0	0	8914.96
25	0	6.71968e-09	0	0	136.383	-188.099	2.12878	34881.6	21470.6	-637.264	221.078	0.0909051	0.0186936	2	0.00154109	0	0	337121
7	1	2.55163e-07	0	0	219.221	36.5896	0.821716	-5705.93	38825.6	-55.671	190.461	0.16803	0.00398646	2	0.00154109	0	0	8193.6
29	0	9.88933e-08	0	0	148.233	-185.196	-5.21562	32816	22236.4	-1096.3	217.314	0.121525	0.034032	2	0.00154109	0	0	22660
196	0	2.78553e-08	0	0	59.4704	-125.744	1.40628	51799.8	25957.6	-643.896	161.14	0.138609	0.0148554	2	0.00154109	0	0	69136.2
50	0	1.94536e-08	0	0	-99.9797	193.522	1.24015	-39108.1	-20791.9	-307.373	226.932	0.0418285	0.00892472	2	0.00154109	0	0	117095
71	0	5.16483e-08	0	0	133.823	186.786	1.87723	-36539.4	21578.8	-14.0526	231.439	0.088401	0.00817892	2	0.00154109	0	0	44933.4
153	0	1.83254e-07	0	0	-252.722	-96.3421	-1.61259	11081.1	-35921.1	218.599	252.843	0.0951386	0.00861266	2	0.00154109	0	0	13219.7
170	0	1.10149e-07	0	0	225.074	-120.34	0.0683904	15485.5	35653.9	403.179	240.495	0.101553	0.0104313	2	0.00154109	0	0	21406.1
