#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
1	1	3.54255e-08	0	0	9.29142	-69.9893	0.0700676	75620.1	10038.8	-107.496	70.6033	2.59606e-08	0.00172354	2	0.00154109	0	0	103670
3	1	3.16884e-08	0	0	-72.9787	44.7102	0.246915	-36195.4	-59078.2	-383.751	85.586	3.21254e-08	0.00624505	2	0.00154109	0	0	78874.6
8	1	5.24464e-08	0	0	-54.7331	101.396	0.201362	-52546.3	-28363.8	-198.721	115.225	4.9029e-09	0.00375887	4	0.00308217	0	0	30987.2
6	1	7.81756e-08	0	0	-144.901	-211.596	-0.283537	33024.5	-22615.1	-7.99415	256.456	5.93368e-06	0.0011235	8	0.00616435	0	0	31267
9	1	6.56195e-08	0	0	-188.913	20.4674	0.0802435	-5008.61	-46228.5	-129.966	190.018	8.12838e-08	0.00282673	8	0.00616435	0	0	31787.6
5	1	6.95689e-08	0	0	-39.0748	-265.166	0.814985	38733.3	-5707.61	53.5481	268.029	9.10413e-06	0.00333408	16	0.0123287	0	0	35634.6
2	1	4.27131e-08	0	3.0035e-09	-455.526	157.922	-0.172031	-9561.89	-27581.4	-98.342	482.124	2.11231e-08	0.00338765	32	0.0246574	0	0	78417.3
10	1	4.04468e-08	0	3.0035e-09	244.987	364.831	0.580613	-25384.1	17045.3	153.718	439.455	2.92963e-08	0.00519806	32	0.0246574	0	0	78746.1
4	1	3.34723e-08	1.2014e-08	6.007e-09	33.8559	1014.29	-1.51515	-20109.5	671.273	25.0698	1014.85	2.28249e-10	0.00194459	64	0.0493148	0	0	144263
7	1	3.03246e-08	1.2014e-08	6.007e-09	-1310.57	-1116.64	-7.37294	10018	-11758.3	66.3709	1721.78	3.42625e-10	0.00606613	256	0.197259	0	0	207440
