#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
61	0	6.53858e-08	0	0	53.094	-74.6304	0.218763	60106.3	36724.9	-580.992	102.463	0.126803	0.00876708	2	0.00154109	0	0	23557.4
114	0	2.94687e-08	0	0	-99.0625	49.6909	0.648883	-17585.6	-54981.4	-153.971	100.65	0.184207	0.00612025	2	0.00154109	0	0	51707.8
127	1	1.56223e-06	0	0	70.7929	22.6449	0.0198135	-22517	70722.3	6.04459	74.0712	0.00370056	0.000278632	2	0.00154109	0	132291	839.106
123	0	3.91425e-08	0	0	116.283	50.1737	-1.69514	-29911	48607.5	-262.967	127.19	0.143773	0.0149229	2	0.00154109	0	0	43882.2
58	0	4.08567e-08	0	0	25.883	101.65	-0.0145177	-66222.6	15286.7	-1280.83	127.872	0.181053	0.0188519	2	0.00154109	0	0	42076.8
42	0	2.62633e-08	0	0	-111.276	-26.684	-0.395133	6845.01	-61137	78.0232	120.975	0.134692	0.00385232	2	0.00154109	0	0	63676.7
98	0	8.15298e-09	0	0	-169.335	21.48	-0.810676	-8775.45	-44692.2	414.295	149.982	0.153476	0.0105663	2	0.00154109	0	0	229314
195	0	4.75805e-08	0	0	49.1033	-139.755	-0.740259	46154.9	12939	-4209.14	127.132	0.177083	0.0875886	2	0.00154109	0	0	35721.9
201	1	2.08116e-07	0	0	-2.88858	-157.598	-0.345692	49326.8	6930.23	266.594	150.395	0.164273	0.00552423	2	0.00154109	34298.6	0	8949.71
102	0	4.51281e-07	0	0	-135.192	85.4689	0.104535	-23704.9	-45979	67.0439	166.911	0.0969996	0.00150758	2	0.00154109	0	596782	4373.34
92	0	1.51775e-08	0	0	-9.85093	205.52	-1.65486	-42269.4	-4610.64	-29.6083	187.99	0.112209	0.00812973	2	0.00154109	0	0	137924
167	0	5.533e-07	0	0	-162.277	69.2816	-0.887497	-19915.1	-38706.4	-19.9034	148.748	0.199092	0.00503069	2	0.00154109	0	511432	3368.97
118	0	2.49335e-08	0	0	-18.5727	-177.248	-0.330431	48203.2	-12130.5	310.546	191.998	0.158458	0.00683285	2	0.00154109	0	0	84296.4
9	1	2.46722e-07	0	0	12.1314	206.735	-1.19949	-44692.2	-1887.23	40.797	208.889	0.101011	0.00580149	2	0.00154109	0	0	8870.02
25	0	7.55391e-09	0	0	-2.80189	218.887	-2.48131	-43270.2	-4667.66	765.843	221.032	0.0951716	0.0200981	2	0.00154109	0	0	300018
7	1	2.55163e-07	0	0	130.493	171.504	-0.37044	-34209	21114.4	-213.406	187.021	0.18011	0.00576411	2	0.00154109	0	0	8115.08
29	0	9.88933e-08	0	0	45.4222	-219.875	-5.49232	41854.8	3513.21	-1222.15	217.025	0.125184	0.0359459	2	0.00154109	0	0	22720.4
196	0	2.78553e-08	0	0	143.34	-19.3057	-1.04606	12136.3	54452.1	181.85	159.942	0.127915	0.00821245	2	0.00154109	0	0	68577.5
50	0	1.94537e-08	0	0	-159.369	144.643	-1.03985	-29831.2	-33414.3	-338.498	226.815	0.0517528	0.0090028	2	0.00154109	0	0	117215
71	0	5.35462e-08	0	0	-194.947	-98.8327	-1.55276	16753.2	-41240.2	-43.0555	231.079	0.0991901	0.00711411	2	0.00154109	0	0	42978.5
153	0	1.8918e-07	0	0	88.4977	-253.085	2.32098	34711.7	14878.5	20.7806	250.764	0.0972643	0.00873207	2	0.00154109	0	0	12722.7
170	0	1.16114e-07	0	0	-227.707	-19.9785	-2.83778	-770.73	-43276.6	-91.5908	238.721	0.113283	0.0124408	2	0.00154109	0	0	20140.9
161	0	2.4542e-07	0	0	156.89	201.776	0.694661	-30685.4	26551.8	227.798	261.983	0.057778	0.00611594	2	0.00154109	0	0	10085.6
148	0	6.26851e-09	0	0	46.3825	270.353	-0.820704	-37461.3	7698.46	269.605	268.021	0.0402651	0.00775194	2	0.00154109	0	0	394386
144	0	4.22515e-08	0	0	82.8178	288.325	0.942414	-34915.5	12030.4	-2.80481	298.729	0.0522556	0.00315069	2	0.00154109	0	0	62133.1
26	0	1.16329e-07	0	0	88.3234	287.368	0.951207	-35025.4	11650.4	-96.0667	299.739	0.0231107	0.00414374	2	0.00154109	0	0	22687.6
185	0	3.78701e-08	0	0	-107.797	-283.189	-0.548286	34865	-12357.6	-169.902	305.811	0.0248274	0.00497673	2	0.00154109	0	0	70068.5
24	0	5.16573e-08	0	0	155.452	-266.163	-0.936176	32337.8	17987.6	94.821	316.881	0.0344124	0.00401554	2	0.00154109	0	0	52467.8
14	0	6.88452e-08	0	3.0035e-13	-319.491	-9.20924	-0.20938	1245.62	-36074.7	-1.91974	324.038	0.0147648	0.000657549	2	0.00154109	0	0	39887.1
4	1	2.30389e-07	0	3.00951e-10	-112.971	361.755	0.218209	-31427.5	-9820.67	-6.99157	379	0.000187197	0.000613644	16	0.0123287	0	0	12903.6
6	1	1.93151e-07	0	3.0035e-10	380.05	-145.471	0.026301	11347.2	29683.5	-15.5044	407.04	0.000497318	0.000492124	16	0.0123287	0	0	15858.7
33	0	2.95961e-08	0	3.0035e-13	-185.75	-300.1	-1.15614	29005.9	-17982.2	5.12356	353.118	0.000880662	0.00327931	16	0.0123287	0	0	96109.2
90	0	5.23257e-09	0	3.0035e-13	-217.56	-330.757	-0.454999	26917.6	-17694.8	241.814	395.871	0.000289929	0.00759379	16	0.0123287	0	0	576785
154	0	5.1964e-09	0	3.0035e-13	341.459	147.571	2.73079	-13177.7	30508.9	225.22	372.002	0.000259201	0.00998963	16	0.0123287	0	0	566209
160	0	3.78233e-09	0	3.0035e-13	254.119	308.12	3.08039	-24726.4	20488.8	-158.136	400.396	0.00335613	0.00916008	16	0.0123287	0	0	807421
3	1	6.53568e-08	0	3.0035e-09	92.7569	-509.409	-2.18813	27711.7	5054.68	86.4282	517.801	0.000318766	0.0052215	32	0.0246574	0	0	52691.6
11	0	4.54014e-08	0	3.0035e-12	-375.388	-257.026	-1.15779	15496.2	-25670.8	18.3787	452.969	0.0574127	0.00265589	32	0.0246574	0	0	70950.2
17	0	2.5029e-09	0	3.0035e-13	125.62	397.796	2.51912	-29925	9475.9	-244.05	417.376	0.000892882	0.00984799	32	0.0246574	0	0	1.24558e+06
28	0	2.35044e-09	0	3.0035e-12	422.992	-93.6869	1.00319	6707.75	30088.8	286.949	434.201	0.00261147	0.00958854	32	0.0246574	0	0	1.34393e+06
