#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
61	0	6.53858e-08	0	0	53.7089	-68.6083	0.387868	58187.6	44292	-368.451	100.627	0.13478	0.00676891	2	0.00154109	0	0	23324.9
114	0	2.94687e-08	0	0	-56.9323	-73.3805	0.630684	61223.7	-31149.8	-841.686	99.5337	0.199259	0.0130759	2	0.00154109	0	0	51669.6
127	1	1.57385e-06	0	0	-18.4059	-63.9877	0.00711026	75566.1	-21673.4	23.105	66.6833	0.0016993	0.000312786	2	0.00154109	0	132291	797.735
123	0	3.91425e-08	0	0	-99.0352	-20.3516	0.569522	2605.21	-69154.6	275.355	123.086	0.240871	0.00642746	2	0.00154109	0	0	43225.6
58	0	4.08567e-08	0	0	-4.66163	-149.871	2.66476	45576.7	-7173.75	-491.869	122.632	0.2538	0.0220026	2	0.00154109	0	0	41242.1
42	0	2.64711e-08	0	0	74.606	-116.436	-0.7629	42876.7	23349.5	-694.762	115.479	0.209499	0.0149288	2	0.00154109	0	0	61787.2
98	0	8.15298e-09	0	0	-148.583	50.6954	2.44698	-23096	-42713.6	228.315	142.883	0.192662	0.0157318	2	0.00154109	0	0	222584
195	0	4.75805e-08	0	0	126.042	35.1687	2.46616	-26704.8	48011.3	3028.91	126.381	0.23447	0.0639678	2	0.00154109	0	0	35733.8
201	1	2.08116e-07	0	0	-149.144	-24.3295	2.14442	-2226.12	-49542.2	133.175	137.978	0.225375	0.0141916	2	0.00154109	34298.6	0	8542.43
102	0	4.51394e-07	0	0	151.364	-39.9386	-0.14475	16393.8	49864	-393.565	164.756	0.077658	0.00751304	2	0.00154109	0	596782	4334.98
167	0	5.533e-07	0	0	-138.309	-80.67	0.0961617	15822	-43583.1	46.996	137.771	0.239661	0.00109954	2	0.00154109	0	511432	3228.68
118	0	2.49335e-08	0	0	-161.254	-64.471	0.497261	21400.2	-46003.7	505.52	190.474	0.103874	0.0105326	2	0.00154109	0	0	83699.8
9	1	2.46791e-07	0	0	184.636	120.887	3.87195	-21292.6	37146.4	-1135.09	217.583	0.0604212	0.0326904	2	0.00154109	0	0	9066.15
25	0	9.48876e-09	0	0	250.042	33.1733	7.11272	-4265.59	37086	1167.89	220.71	0.144413	0.0417346	2	0.00154109	0	0	236802
7	1	2.70347e-07	0	0	8.34912	201.525	-1.61729	-42070.1	3592.6	43.3414	179.332	0.132091	0.00813589	2	0.00154109	0	0	7510.22
29	0	9.88936e-08	0	0	-109.766	164.389	-5.08587	-36224.9	-30417.2	-1025.5	214.304	0.133293	0.0356139	2	0.00154109	0	0	22509
196	0	2.78553e-08	0	0	-160.345	0.316224	-1.76398	4148.15	-49275.5	-22.4636	153.36	0.0971291	0.0110899	2	0.00154109	0	0	67241.7
50	0	1.94639e-08	0	0	171.778	-174.178	-3.55644	30467.1	24444.5	463.819	224.194	0.136518	0.0197885	2	0.00154109	0	0	117177
71	0	5.37838e-08	0	0	61.0978	-231.365	-4.14025	39621.1	4738.28	137.283	223.165	0.156094	0.0182772	2	0.00154109	0	0	42322.1
153	0	2.22085e-07	0	0	-67.8644	-236.671	0.806107	36702	-14349.9	-190.268	230.243	0.116072	0.00610782	2	0.00154109	0	0	10449.6
170	0	1.21769e-07	0	0	48.5129	-249.675	-1.94315	37459.8	3967.29	546.68	226.826	0.148467	0.0170359	2	0.00154109	0	0	18741
161	0	2.51281e-07	0	0	209.035	96.7689	-5.06876	-17848.5	37781.4	1121.7	225.851	0.0218215	0.0345653	2	0.00154109	0	0	9062.29
148	0	6.27935e-09	0	0	143.502	-220.833	-2.13098	31190	23633.4	-209.496	258.633	0.07435	0.0100447	2	0.00154109	0	0	390036
144	0	6.09391e-08	0	0	46.9844	295.009	0.611797	-36195.9	6800.86	14.6511	294.669	0.0310096	0.00207621	2	0.00154109	0	0	42777
26	0	1.18423e-07	0	0	-211.263	-230.094	-1.26676	26851.9	-23376.9	-65.4524	301.427	0.0448974	0.00449816	2	0.00154109	0	0	22293.4
185	0	3.8085e-08	0	0	-260.163	173.923	-3.4831	-20442	-29295	3.38922	304.45	0.0343543	0.0111341	2	0.00154109	0	0	69492.3
24	0	6.0217e-08	0	0	311.039	-3.00506	1.14448	1460	36483	-88.4417	313.981	0.0317204	0.00446809	2	0.00154109	0	0	44803.5
14	0	7.08728e-08	0	3.0035e-13	-84.6461	318.398	2.08547	-33677.6	-9492.58	31.392	323.562	0.023545	0.00640713	2	0.00154109	0	0	38415.4
4	1	2.30793e-07	0	3.00951e-10	-38.7272	-376.486	-0.444668	32771.7	-3334.22	5.59118	378.314	0.0011898	0.00118691	16	0.0123287	0	0	12779.9
6	1	2.05161e-07	0	3.0035e-10	-409.744	17.4162	-0.00191958	-1136.26	-31507.5	5.33269	406.951	0.0100896	0.000169179	16	0.0123287	0	0	14937.8
33	0	3.25307e-08	0	3.0035e-13	225.356	272.019	1.10524	-26267.4	21734.2	-16.2609	353.017	0.000888178	0.00316468	16	0.0123287	0	0	87491.8
90	0	6.65174e-09	0	3.0035e-13	-395.257	32.8233	0.264425	-2674.25	-32045.8	246.49	395.948	0.0017395	0.00769367	16	0.0123287	0	0	453559
154	0	6.49147e-09	0	3.0035e-13	-167.355	331.96	-3.12785	-29713.2	-14933.3	-12.5843	372.027	0.00142203	0.00842148	16	0.0123287	0	0	453199
160	0	4.91912e-09	0	3.0035e-13	208.904	-341.921	2.64093	27131.1	16966.2	-275.227	400.179	0.0105345	0.0107817	16	0.0123287	0	0	614397
11	0	6.28812e-08	0	3.0035e-12	-318.067	-270.791	0.871629	17516.6	-26910.6	58.9899	438.906	0.136578	0.00261928	16	0.0123287	0	0	50340.2
145	0	8.96491e-08	0	3.0035e-12	-289.854	-313.791	0.349632	20405.9	-24038.7	63.8274	442.107	0.125456	0.00210512	16	0.0123287	0	0	35617.8
179	0	1.41943e-08	0	3.0035e-12	381.538	269.247	0.604205	-18632.3	23628	125.857	480.992	0.0606086	0.00444965	16	0.0123287	0	0	233723
174	0	1.69663e-07	0	6.007e-12	-237.323	326.42	0.556832	-26891.3	-20266.3	-35.7279	455.385	0.115045	0.00172629	16	0.0123287	0	0	19017.4
38	0	2.74941e-09	0	3.0035e-12	273.57	396.538	-3.13027	-24535.4	16613.3	-65.3004	496.412	0.0307695	0.00687957	16	0.0123287	0	0	1.22782e+06
74	0	4.25698e-08	0	3.0035e-12	491.398	-18.6891	-1.41643	-961.568	27481.8	5.89221	449.122	0.119503	0.00288037	16	0.0123287	0	0	75215.9
57	0	2.62398e-09	0	3.0035e-13	-420.098	92.4779	1.59681	-6397.71	-30147.8	248.795	427.813	0.00932265	0.00891084	16	0.0123287	0	0	1.19793e+06
28	0	2.93891e-09	0	3.0035e-12	-105.465	-415.43	-1.26265	30202.3	-7649.96	349.751	434.157	0.0127896	0.0116038	16	0.0123287	0	0	1.07507e+06
17	0	3.21158e-09	0	3.0035e-13	-230.684	-348.886	2.83902	26170.4	-17190.1	207.614	417.475	0.00353218	0.00950305	16	0.0123287	0	0	970280
