#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
61	0	6.53858e-08	0	0	-100.583	-21.8027	-0.0541653	21568.6	-58790.3	159.443	101.132	0.138834	0.00255228	2	0.00154109	0	0	23359.8
114	0	2.94687e-08	0	0	-110.129	-3.88697	1.28141	12645.1	-56277.4	257.801	99.5023	0.212732	0.013436	2	0.00154109	0	0	51110.1
127	1	1.56551e-06	0	0	2.69205	-67.7933	0.00897384	77826.8	3056.4	21.0436	67.9671	0.00182402	0.000300768	2	0.00154109	0	132291	808.34
123	0	3.91425e-08	0	0	-94.0151	34.4421	0.169822	-28803.5	-63922.9	125.317	124.842	0.210229	0.00237982	2	0.00154109	0	0	43496
58	0	4.08567e-08	0	0	29.8321	-150.832	0.929521	44540.6	7376.02	602.46	124.291	0.239002	0.0144834	2	0.00154109	0	0	41560.1
42	0	2.63462e-08	0	0	111.656	46.2846	-1.76231	-31515.6	47726.1	-198.802	116.503	0.192981	0.0159033	2	0.00154109	0	0	62414.9
98	0	8.15298e-09	0	0	10.4714	121.397	-2.14624	-60627.4	14939.6	-861.165	144.51	0.219153	0.0208692	2	0.00154109	0	0	222675
195	0	4.75805e-08	0	0	35.0734	-146.221	-8.46701	46548.8	5867.86	-1402.88	126.308	0.2212	0.0610801	2	0.00154109	0	0	35775.1
201	1	2.08116e-07	0	0	-145.578	-67.6473	3.37772	14531.4	-43967.8	349.228	138.184	0.198127	0.0216579	2	0.00154109	34298.6	0	8615.52
102	0	4.51394e-07	0	0	-124.724	120.764	-0.707256	-30597.8	-36052.2	226.664	164.538	0.0855413	0.00609708	2	0.00154109	0	596782	4346.44
92	0	1.51787e-08	0	0	178.09	39.9113	0.707566	-3335.18	47566.4	-249.772	184.36	0.1502	0.00704779	2	0.00154109	0	0	135369
167	0	5.533e-07	0	0	-5.65715	-162.001	0.0501847	45432.2	5938.53	-10.7665	138.345	0.235862	0.000361528	2	0.00154109	0	511432	3239.07
118	0	2.49335e-08	0	0	-169.564	-2.40863	-1.39223	3935.91	-51563.9	-5.65583	189.244	0.120764	0.00823294	2	0.00154109	0	0	83819.8
9	1	2.46789e-07	0	0	-77.4402	205.108	-0.202859	-36982.5	-18246.7	18.3186	200.677	0.133864	0.000991398	2	0.00154109	0	0	8762.13
25	0	9.30412e-09	0	0	226.406	-93.0986	-2.16261	17827.6	34311.4	1539.32	221.001	0.139107	0.0416799	2	0.00154109	0	0	240867
7	1	2.55168e-07	0	0	116.436	161.173	-0.297163	-32291.1	28827.3	-318.785	181.887	0.138543	0.00740148	2	0.00154109	0	0	8006.41
29	0	9.88933e-08	0	0	-48.2703	-197.81	-4.26368	43102.3	-16324.8	1149.01	215.209	0.132948	0.0347109	2	0.00154109	0	0	22579
196	0	2.78553e-08	0	0	-151.592	72.6801	0.534908	-17355.1	-43734.2	-682.001	153.682	0.116526	0.0146571	2	0.00154109	0	0	67736.6
50	0	1.94638e-08	0	0	136.849	-196.624	-2.47072	35001.6	19343.9	-422.131	224.46	0.122913	0.0140513	2	0.00154109	0	0	116901
71	0	5.37191e-08	0	0	248.887	37.178	-3.19944	-8607.21	36797	280.83	223.673	0.149009	0.0142408	2	0.00154109	0	0	42180.7
153	0	2.20368e-07	0	0	102.37	-239.111	0.235032	34433.3	14665.5	36.5133	233.649	0.11324	0.00132854	2	0.00154109	0	0	10585.8
170	0	1.21769e-07	0	0	18.9502	202.714	2.79885	-47164.9	-347.609	187.72	226.881	0.143102	0.0147639	2	0.00154109	0	0	18731.7
161	0	2.47582e-07	0	0	-262.16	4.53674	0.568436	-2677.72	-38840.8	135.504	253.91	0.0609643	0.00400982	2	0.00154109	0	0	9818.78
148	0	6.27929e-09	0	0	-116.097	-246.721	4.38454	34823.1	-15187.8	-213.865	261.725	0.0507842	0.0168898	2	0.00154109	0	0	389761
144	0	5.75867e-08	0	0	-260.04	159.717	0.77015	-18630.2	-30821.6	-112.756	294.409	0.0372487	0.00400739	2	0.00154109	0	0	45345.8
26	0	1.18336e-07	0	0	118.407	-274.012	0.245148	33656	16036.2	-6.7418	301.457	0.0380376	0.000834987	2	0.00154109	0	0	22305.4
185	0	3.80849e-08	0	0	175.924	240.725	3.296	-29530.7	23123.8	-190.867	304.565	0.0392221	0.0123283	2	0.00154109	0	0	69439.9
