#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
1	1	1.04092e-07	0	0	-5.66462	-70.1388	-0.364506	76074.6	-6459.89	-189.686	70.2533	0.00444766	0.0057358	2	0.00154109	0	0	12240.6
2	1	2.34711e-07	0	0	32.177	97.2554	0.198468	-59092	17295	-68.9202	97.1205	0.064857	0.00220489	2	0.00154109	0	0	6369.84
81	0	7.50182e-09	0	0	88.1342	21.2504	-0.531885	-11185.4	65672.3	-124.567	88.8238	0.0709236	0.00604938	2	0.00154109	0	0	191001
94	0	1.06331e-07	0	0	-21.0917	83.7196	-0.0375232	-65747	-23027.4	-21.7848	88.0777	0.0921046	0.000560075	2	0.00154109	0	0	13408.4
130	0	6.90334e-08	0	0	9.17244	93.1095	0.213084	-62247.5	8854.72	56.6013	85.072	0.108604	0.00241486	2	0.00154109	0	0	20415
151	0	7.84564e-08	0	0	71.3379	-13.6702	0.20148	18893.6	77198.7	640.313	82.2424	0.127191	0.00839736	2	0.00154109	0	0	17529.5
156	0	3.91877e-08	0	0	62.6447	25.0762	0.146732	-31707.3	71803.5	-166.11	68.2888	0.0370271	0.00298249	2	0.00154109	0	0	32089.6
162	0	5.48036e-08	0	0	72.4148	-30.0465	-0.29877	23617.3	66171.1	322.407	74.104	0.0768287	0.00582238	2	0.00154109	0	0	23982
172	0	2.73832e-08	0	0	-62.0807	35.5446	-0.23083	-40943.5	-65688.3	158.913	74.766	0.0570899	0.00389142	2	0.00154109	0	0	48232.5
189	0	4.79479e-08	0	0	56.6894	-47.7573	-0.728936	46231	61743.4	2.96119	80.0039	0.0930856	0.0098477	2	0.00154109	0	0	28276.4
190	0	4.22544e-08	0	0	-67.4577	-58.5769	-0.913965	45896.9	-52151.7	-394.818	94.0065	0.0500146	0.0117354	2	0.00154109	0	0	34782.5
192	0	9.85624e-08	0	0	-49.4258	-57.6283	0.238775	63807.9	-40001.1	-388.578	79.7539	0.155852	0.00569304	2	0.00154109	0	0	13849.4
200	0	5.85343e-08	0	0	85.2681	43.0555	-0.114751	-29342	58640.5	-325.194	95.4912	0.00366886	0.00509851	2	0.00154109	0	0	25486.4
61	0	6.51377e-08	0	0	-0.0713587	-96.7561	-0.0310957	67902.2	-220.405	812.895	105.859	0.086025	0.0119761	2	0.00154109	0	0	24015.4
49	0	3.40302e-08	0	0	-102.838	-7.65929	0.355151	7646.58	-64178.3	419.161	108.384	0.0656191	0.00748355	2	0.00154109	0	0	46435.5
114	0	2.00735e-08	0	0	77.5512	-85.9084	0.755505	45103.7	38336.5	-9.38523	114.26	0.0325128	0.00653739	2	0.00154109	0	0	81322.1
