#ID	init_time	type	mass	wm	swm	r2D	theta	x	y	z	init_temp
61	0	0	3.0035e-11	0	0	108.248	-2.76938	-100.836	-39.367	0.15037	394.898
62	0	0	3.0035e-11	6.007e-12	6.007e-12	595.947	1.71762	-87.1868	589.535	-4.89144	168.312
63	0	0	3.0035e-11	1.2014e-11	6.007e-12	955.756	-1.32429	233.218	-926.865	9.14204	133.049
64	0	0	3.0035e-11	1.2014e-11	6.007e-12	2978.22	2.16803	-1674.83	2462.66	26.1836	75.2949
65	0	0	3.0035e-11	0	3.0035e-12	507.592	-1.58847	-8.97154	-507.513	-5.07193	182.453
66	0	0	3.0035e-11	0	0	290.15	1.87379	-86.5756	276.933	1.37824	241.141
67	0	0	3.0035e-11	0	0	206.508	0.765919	148.84	143.151	-0.441779	285.986
68	0	0	3.0035e-11	1.2014e-11	6.007e-12	1449.6	-1.37604	280.537	-1422.19	-13.8783	107.875
69	0	0	3.0035e-11	1.2014e-11	6.007e-12	1497.85	-1.87078	-442.617	-1430.96	-12.7322	106.149
70	0	0	3.0035e-11	0	0	213.669	-0.856863	139.913	-161.49	1.66763	281.409
71	0	0	3.0035e-11	0	0	237.881	2.16438	-133.056	197.189	2.08272	266.265
72	0	0	3.0035e-11	0	0	69.7744	-0.720211	52.4471	-46.0192	0.642958	491.564
73	0	0	3.0035e-11	0	0	149.028	-2.53855	-122.742	-84.5213	0.358225	336.834
74	0	0	3.0035e-11	0	3.0035e-12	465.192	2.26671	-298.228	357.02	-0.770227	190.62
75	0	0	3.0035e-11	1.2014e-11	6.007e-12	1792.18	-0.492786	1578.94	-847.848	7.45997	97.0232
76	0	0	3.0035e-11	1.2014e-11	6.007e-12	1117.26	2.96748	-1100.37	193.546	-10.8354	123.021
77	0	0	3.0035e-11	0	0	80.5695	0.0694114	80.3755	5.58795	0.155375	457.667
78	0	0	3.0035e-11	0	0	219.238	2.59754	-187.584	113.479	2.09394	277.544
79	0	0	3.0035e-11	1.2014e-11	6.007e-12	1419.51	-1.10434	638.394	-1267.86	-2.60988	109.126
80	0	0	3.0035e-11	1.2014e-11	6.007e-12	1924.13	-0.99281	1051.23	-1611.59	1.74027	93.7261
81	0	0	3.0035e-11	0	0	89.806	-1.67285	-9.14882	-89.3388	0.881441	434.037
82	0	0	3.0035e-11	1.2014e-11	6.007e-12	3696.92	-1.91942	-1262.88	-3474.53	-20.0392	67.5645
83	0	0	3.0035e-11	1.2014e-11	6.007e-12	1700.96	-2.03282	-758.219	-1522.62	-4.50877	99.7442
84	0	0	3.0035e-11	1.2014e-11	6.007e-12	2780.69	-2.88431	-2689.16	-707.553	-25.5139	77.9436
85	0	0	3.0035e-11	1.2014e-11	6.007e-12	3303.31	1.06821	1591.19	2894.81	-19.7435	71.5721
86	0	0	3.0035e-11	1.2014e-11	6.007e-12	1648.55	-0.164193	1626.38	-269.466	10.2666	101.133
87	0	0	3.0035e-11	0	0	317.976	-2.04579	-145.421	-282.774	-3.00473	230.277
88	0	0	3.0035e-11	0	3.0035e-12	547.93	-1.96517	-210.532	-505.869	-3.40735	175.442
89	0	0	3.0035e-11	1.2014e-11	6.007e-12	1499	-1.74754	-263.558	-1475.65	4.99363	106.149
90	0	0	3.0035e-11	0	3.0035e-13	395.891	2.05729	-185.09	349.96	2.94465	206.635
91	0	0	3.0035e-11	1.2014e-11	6.007e-12	1294.84	-0.773454	926.457	-904.586	-11.0583	114.274
92	0	0	3.0035e-11	0	0	198.892	2.44967	-153.151	126.896	-1.94058	291.309
93	0	0	3.0035e-11	0	0	198.234	-2.18903	-114.896	-161.541	1.12244	291.981
94	0	0	3.0035e-11	0	0	92.6144	2.4644	-72.1775	58.0329	0.0958624	427.09
95	0	0	3.0035e-11	0	0	68.0985	-2.96232	-67.0071	-12.1431	-0.0845351	498.41
96	0	0	3.0035e-11	6.007e-12	6.007e-12	603.64	-2.5527	-501.959	-335.287	3.09151	167.152
97	0	0	3.0035e-11	0	0	189.461	2.5425	-156.466	106.836	0.801268	298.789
98	0	0	3.0035e-11	0	0	147.204	-2.06049	-69.2386	-129.903	-0.330224	339.171
99	0	0	3.0035e-11	0	0	210.559	0.763384	152.129	145.574	2.0198	283.362
100	0	0	3.0035e-11	1.2014e-11	6.007e-12	652.559	-0.724867	488.497	-432.67	4.48085	161.1
101	0	0	3.0035e-11	0	0	126.883	3.09672	-126.755	5.69129	-0.635906	365.133
102	0	0	3.0035e-11	0	0	207.409	2.8385	-197.955	61.9057	-0.0791691	285.328
103	0	0	3.0035e-11	1.2014e-11	6.007e-12	1934.62	3.05725	-1927.74	162.977	-3.09853	93.5103
104	0	0	3.0035e-11	1.2014e-11	6.007e-12	805.333	1.38855	145.958	791.996	5.98959	144.894
105	0	0	3.0035e-11	0	0	279.867	2.95704	-275.114	51.3569	-1.915	245.629
106	0	0	3.0035e-11	0	3.0035e-12	579.43	-2.62455	-503.69	-286.418	-3.21833	170.656
107	0	0	3.0035e-11	0	3.0035e-12	543.608	2.22511	-330.85	431.332	1.71447	176.252
108	0	0	3.0035e-11	1.2014e-11	6.007e-12	707.369	-0.773656	506.024	-494.278	6.98206	154.553
109	0	0	3.0035e-11	0	0	105.278	-1.83457	-27.4483	-101.637	0.305637	400.397
110	0	0	3.0035e-11	0	0	130.368	-2.6361	-114.064	-63.1293	-1.20175	360.118
111	0	0	3.0035e-11	0	0	77.6245	-2.41559	-58.0504	-51.5337	0.346908	466.184
112	0	0	3.0035e-11	1.2014e-11	6.007e-12	952.157	-0.619303	775.326	-552.697	1.26192	133.356
113	0	0	3.0035e-11	0	0	98.5155	1.84895	-27.0504	94.729	0.960704	414.483
114	0	0	3.0035e-11	0	0	114.006	-0.231289	110.971	-26.134	-0.757515	385.012
115	0	0	3.0035e-11	0	0	261.22	1.19701	95.3829	243.183	-1.83743	254.269
116	0	0	3.0035e-11	0	3.0035e-13	384.411	0.11597	381.828	44.4803	-3.75188	209.513
117	0	0	3.0035e-11	6.007e-12	6.007e-12	621.626	2.78715	-582.986	215.744	-4.17091	164.856
118	0	0	3.0035e-11	0	0	201.946	2.10279	-102.437	174.037	1.44124	289.301
119	0	0	3.0035e-11	0	0	192.221	-0.189616	188.776	-36.2301	0.0607871	296.73
120	0	0	3.0035e-11	0	0	98.6227	-0.61219	80.712	-56.6746	-0.686723	413.528
121	0	0	3.0035e-11	1.2014e-11	6.007e-12	781.76	0.393783	721.928	299.95	-3.55899	146.912
122	0	0	3.0035e-11	0	0	94.7546	0.176123	93.2888	16.6023	0.576235	422.196
123	0	0	3.0035e-11	0	0	129.184	-0.689518	99.6722	-82.1823	-0.573445	361.782
124	0	0	3.0035e-11	0	3.0035e-13	381.365	2.26964	-245.344	291.969	-1.07796	210.481
125	0	0	3.0035e-11	0	0	106.394	-2.79145	-99.9387	-36.4969	0.572883	398.556
126	0	0	3.0035e-11	0	0	136.965	-2.30375	-91.6391	-101.792	0.185684	351.103
127	0	0	3.0035e-11	0	0	145.449	1.41184	23.0225	143.615	-0.0618653	340.739
128	0	0	3.0035e-11	0	0	149.07	-1.05768	73.1772	-129.873	0.61803	336.834
129	0	0	3.0035e-11	0	3.0035e-12	537.702	2.51891	-436.785	313.596	2.52993	177.475
130	0	0	3.0035e-11	0	0	90.3058	0.759651	65.4786	62.1907	-0.395772	433.037
131	0	0	3.0035e-11	1.2014e-11	6.007e-12	1259.17	0.0718208	1255.92	90.3566	-5.26229	115.865
132	0	0	3.0035e-11	1.2014e-11	6.007e-12	1791.02	-2.13301	-954.726	-1515.34	-15.9099	97.0232
133	0	0	3.0035e-11	0	0	116.032	1.74796	-20.4492	114.216	0.059094	381.479
134	0	0	3.0035e-11	1.2014e-11	6.007e-12	1903.49	-0.9474	1111.25	-1545.44	-13.7259	94.1592
135	0	0	3.0035e-11	1.2014e-11	6.007e-12	2191.64	-0.021182	2191.15	-46.4199	15.6815	87.8684
136	0	0	3.0035e-11	1.2014e-11	6.007e-12	751.45	-1.37175	148.586	-736.614	-4.2487	149.991
137	0	0	3.0035e-11	1.2014e-11	6.007e-12	1306.83	-0.723789	979.214	-865.423	-1.14983	113.748
138	0	0	3.0035e-11	1.2014e-11	6.007e-12	1262.59	-3.08967	-1260.89	-65.5339	-6.43028	115.598
139	0	0	3.0035e-11	1.2014e-11	6.007e-12	3035.77	1.57726	-19.6358	3035.71	-18.5894	74.6039
140	0	0	3.0035e-11	1.2014e-11	6.007e-12	664.47	-1.2711	196.17	-634.853	-4.2263	159.622
141	0	0	3.0035e-11	0	0	210.191	1.87087	-62.1312	200.798	1.64095	283.362
142	0	0	3.0035e-11	1.2014e-11	6.007e-12	1027.35	2.88821	-994.541	257.537	7.90358	128.232
143	0	0	3.0035e-11	6.007e-12	6.007e-12	594.589	-2.94071	-582.633	-118.64	-4.03298	168.7
144	0	0	3.0035e-11	0	0	301.243	2.00074	-125.564	273.826	1.7151	236.735
145	0	0	3.0035e-11	0	3.0035e-12	458.61	0.994842	249.776	384.624	-0.545707	191.943
146	0	0	3.0035e-11	0	0	183.279	-2.6406	-160.755	-88.0284	0.331827	303.649
147	0	0	3.0035e-11	0	0	89.5552	0.186136	88.0083	16.5734	-0.864174	434.037
148	0	0	3.0035e-11	0	0	270.677	-2.4422	-207.131	-174.249	0.871165	249.624
149	0	0	3.0035e-11	0	0	145.04	-1.39792	24.9486	-142.878	0.302071	341.525
150	0	0	3.0035e-11	0	0	204.827	-0.25432	198.239	-51.532	0.0762409	287.308
151	0	0	3.0035e-11	0	0	85.8045	-2.75507	-79.4745	-32.3454	0.800385	444.157
152	0	0	3.0035e-11	1.2014e-11	6.007e-12	1472.82	2.60665	-1267.06	750.836	11.4577	107.132
153	0	0	3.0035e-11	0	0	261.894	-0.642076	209.739	-156.837	0.0479581	254.269
154	0	0	3.0035e-11	0	3.0035e-13	371.982	-1.74123	-63.0901	-366.593	3.22839	212.92
155	0	0	3.0035e-11	1.2014e-11	6.007e-12	706.715	-2.1855	-407.577	-577.345	-1.29454	154.553
156	0	0	3.0035e-11	0	0	69.8196	-3.03153	-69.3971	-7.66934	-0.426393	491.564
157	0	0	3.0035e-11	1.2014e-11	6.007e-12	1083.46	0.561493	917.107	576.888	4.2703	125.022
158	0	0	3.0035e-11	0	0	137.088	2.55399	-114.095	75.9971	0.4216	351.103
159	0	0	3.0035e-11	1.2014e-11	6.007e-12	4267.99	2.24987	-2680.6	3321.17	-0.562426	62.9053
160	0	0	3.0035e-11	0	3.0035e-13	400.545	1.16567	157.87	368.121	-3.53771	205.211
161	0	0	3.0035e-11	0	0	271.974	-1.28591	76.4389	-261.011	0.13747	249.049
162	0	0	3.0035e-11	0	0	75.2323	-1.37424	14.6927	-73.7837	0.628355	473.767
163	0	0	3.0035e-11	0	0	148.266	0.987826	81.6211	123.777	0.671235	337.611
164	0	0	3.0035e-11	0	0	106.555	1.41613	16.4152	105.283	0.352336	398.556
165	0	0	3.0035e-11	6.007e-12	6.007e-12	627.781	-1.41295	98.681	-619.976	-1.20134	164.098
166	0	0	3.0035e-11	0	0	90.2928	2.8018	-85.13	30.0942	0.86644	433.037
167	0	0	3.0035e-11	0	0	184.28	1.00397	98.9509	155.46	0.0109632	302.949
168	0	0	3.0035e-11	1.2014e-11	6.007e-12	713.766	1.73728	-118.286	703.896	2.19815	153.842
169	0	0	3.0035e-11	0	0	139.563	1.27995	40.0214	133.701	-0.869436	347.881
170	0	0	3.0035e-11	0	0	247.386	-0.0793675	246.607	-19.6138	0.739948	261.4
171	0	0	3.0035e-11	1.2014e-11	6.007e-12	2227.39	-1.79876	-503.378	-2169.77	5.53755	87.062
172	0	0	3.0035e-11	0	0	75.8776	2.11979	-39.5949	64.7276	0.262599	471.588
173	0	0	3.0035e-11	1.2014e-11	6.007e-12	2300.23	1.9311	-810.973	2152.53	11.0002	85.6686
174	0	0	3.0035e-11	0	3.0035e-12	488.419	-1.72094	-73.0601	-482.924	0.257024	185.848
175	0	0	3.0035e-11	0	0	94.1947	-1.31009	24.2798	-91.0117	-0.589332	423.17
176	0	0	3.0035e-11	1.2014e-11	6.007e-12	1736.2	0.962384	992.353	1424.65	-12.1976	98.6013
177	0	0	3.0035e-11	0	0	130.818	-1.74759	-23.0076	-128.779	0.500798	359.289
