#time	ID1	type1	mass1	wm1	swm1	x1	y1	z1	vx1	vy1	vz1	ID2	type2	mass2	wm2	swm2	x2	y2	z2	vx2	vy2	vz2	ID	type	mass	wm	swm	x	y	z	vx	vy	vz
100931	130	0	4.74448e-08	0	0	-3.11796	-93.3636	-0.136984	65237.9	-643.067	-346.945	122	0	2.14496e-08	0	0	-3.11436	-93.3624	-0.132841	66815.3	-3608.65	-144.042	130	0	6.88945e-08	0	0	-3.11684	-93.3632	-0.135695	65729	-1566.37	-283.773
109844	2	1	1.15986e-07	0	0	28.7573	-99.0578	-0.141935	59487.3	17460.9	72.1871	37	0	4.10674e-08	0	0	28.7498	-99.0567	-0.139442	59790.1	19321.8	413.492	2	1	1.57053e-07	0	0	28.7553	-99.0575	-0.141284	59566.5	17947.5	161.434
115550	55	0	3.71636e-08	0	0	-73.8689	88.9936	0.0837258	-46836.5	-39094.8	-119.618	39	0	2.02815e-08	0	0	-73.8703	88.998	0.0853426	-46728.3	-38845.7	93.6762	55	0	5.74451e-08	0	0	-73.8694	88.9951	0.0842966	-46798.3	-39006.8	-44.3126
129286	2	1	1.85385e-07	0	0	28.0045	94.0055	0.0901875	-63109	17634.1	-132.391	34	0	4.93257e-08	0	0	28.0025	93.9986	0.0916292	-61730.7	19727.6	174.711	2	1	2.34711e-07	0	0	28.0041	94.004	0.0904905	-62819.4	18074	-67.8521
132265	127	0	2.86907e-07	0	0	-131.816	46.3502	0.0627411	-15852.4	-52601.3	78.1723	177	0	5.78558e-08	0	0	-131.807	46.3466	0.062032	-16340.6	-49276.3	67.1678	127	0	3.44763e-07	0	0	-131.815	46.3496	0.0626221	-15934.3	-52043.3	76.3256
135775	55	0	8.85096e-08	0	0	-107.679	-34.0011	-0.13468	15064.4	-60175.2	37.4754	186	0	2.01345e-08	0	0	-107.68	-33.9943	-0.132866	15886.2	-60046.7	180.812	55	0	1.08644e-07	0	0	-107.68	-33.9999	-0.134344	15216.7	-60151.4	64.0394
138729	55	0	1.08812e-07	0	0	-110.496	0.629901	-0.105261	-2719.89	-63256.1	4.62674	109	0	8.58166e-08	0	0	-110.498	0.628231	-0.0993337	-928.074	-58420.2	149.857	55	0	1.94629e-07	0	0	-110.497	0.629165	-0.102648	-1929.83	-61123.8	68.6621
145698	127	0	3.448e-07	0	0	128.325	54.9258	0.180022	-18586	50945.5	13.2276	126	0	3.78422e-08	0	0	128.322	54.9254	0.180122	-21809.5	49357.9	-233.131	127	0	3.82643e-07	0	0	128.325	54.9258	0.180032	-18904.8	50788.4	-11.1364
150495	127	0	3.82648e-07	0	0	99.2505	-87.0971	0.301202	38299.1	42323.7	-9.09269	101	0	9.01043e-08	0	0	99.2431	-87.1022	0.302633	36153.8	40707.3	62.7625	127	0	4.72752e-07	0	0	99.2491	-87.098	0.301474	37890.2	42015.6	4.60258
151379	4	1	1.65081e-07	0	3.0065e-10	305.521	-229.305	-0.122755	19686.4	26229.7	17.9537	116	0	9.48377e-11	0	3.0035e-13	306.676	-230.074	-0.848134	19766.6	26158	296.344	4	1	1.65176e-07	0	3.00951e-10	305.522	-229.306	-0.123172	19686.5	26229.6	18.1135
156101	55	0	2.67935e-07	0	0	-107.891	-17.3176	0.0573062	7791.22	-61371.2	-108.157	164	0	3.09655e-08	0	0	-107.886	-17.3143	0.0605157	12418.7	-58200.5	122.886	55	0	2.989e-07	0	0	-107.89	-17.3172	0.0576387	8270.63	-61042.7	-84.2213
156909	194	0	4.34819e-08	0	0	-76.2558	22.2495	0.245197	-17492.9	-69432.5	100.598	77	0	4.1469e-08	0	0	-76.2536	22.2563	0.245173	-17362.6	-69915	-47.9157	194	0	8.49509e-08	0	0	-76.2547	22.2528	0.245185	-17429.3	-69668	28.101
159939	194	0	8.49509e-08	0	0	2.33194	-75.7726	-0.0517049	75098.5	2636.14	-250.991	193	0	1.48352e-08	0	0	2.3338	-75.7719	-0.0497223	74773.6	2972.82	556.849	194	0	9.97861e-08	0	0	2.33221	-75.7725	-0.0514101	75050.2	2686.19	-130.89
160418	136	0	8.5418e-11	1.2014e-11	6.007e-12	607.078	442.887	1.8076	-13780.9	18889.5	119.067	32	0	6.23301e-11	1.2014e-11	6.007e-12	606.81	442.555	1.82666	-13781.8	18896.2	191.184	136	0	1.47748e-10	2.4028e-11	1.2014e-11	606.965	442.747	1.81564	-13781.3	18892.3	149.491
163372	127	0	5.63227e-07	0	0	56.1909	-107.2	0.359001	52992.6	29551.2	-34.3663	182	0	5.28119e-08	0	0	56.1966	-107.193	0.357477	50164.8	27145.4	3.54516	127	0	6.16039e-07	0	0	56.1914	-107.2	0.35887	52750.2	29345	-31.1163
166428	127	0	6.16039e-07	0	0	-33.5958	133.967	-0.462292	-51895.9	-10166.5	-22.2982	187	0	6.01441e-08	0	0	-33.5992	133.964	-0.450677	-51713.2	-7987.66	244.357	127	0	6.76183e-07	0	0	-33.5961	133.967	-0.461259	-51879.6	-9972.67	1.41982
167614	127	0	6.76183e-07	0	0	80.4026	-88.1675	0.338622	44366.2	41912	-119.996	133	0	6.02605e-08	0	0	80.4026	-88.1571	0.340026	42008.6	39428.5	254.536	127	0	7.36444e-07	0	0	80.4026	-88.1667	0.338737	44173.2	41708.8	-89.3496
187864	94	0	5.96017e-08	0	0	79.7781	46.8035	0.240485	-35940	56036.9	93.8567	147	0	4.67297e-08	0	0	79.7793	46.8045	0.247401	-36045.8	53718.2	188.792	94	0	1.06331e-07	0	0	79.7786	46.8039	0.243524	-35986.5	55017.9	135.578
236671	9	1	1.20608e-07	0	0	-187.453	116.198	-0.475198	-24798.9	-34665.5	-94.2678	78	0	4.84977e-08	0	0	-187.444	116.199	-0.476983	-24758.6	-34695.6	265.737	9	1	1.69106e-07	0	0	-187.45	116.198	-0.47571	-24787.3	-34674.1	8.9773
242882	1	1	1.04092e-07	0	0	-34.8671	60.8445	0.345094	-66249.4	-38303	-247.811	172	0	2.73832e-08	0	0	-34.872	60.8421	0.350698	-68094.9	-39539.2	549.073	1	1	1.31475e-07	0	0	-34.8681	60.844	0.346261	-66633.8	-38560.5	-81.8382
245079	167	0	9.14523e-08	0	0	186.392	-6.25037	0.480236	512.786	46446	-92.238	97	0	5.16505e-08	0	0	186.389	-6.25453	0.474579	-377.279	47259.7	-157.921	167	0	1.43103e-07	0	0	186.391	-6.25187	0.478194	191.532	46739.7	-115.945
250861	93	0	5.88209e-08	0	0	146.58	-115.274	-0.185896	30992.4	36850.2	-100.614	31	0	5.10121e-08	0	0	146.574	-115.27	-0.188495	28452.6	36311.1	-393.69	93	0	1.09833e-07	0	0	146.577	-115.273	-0.187103	29812.7	36599.8	-236.734
259850	127	0	7.74358e-07	0	0	93.3575	35.3859	-0.0407294	-26342.3	63439.7	366.978	2	1	2.34711e-07	0	0	93.3481	35.3934	-0.035776	-20235.7	60092	-239.248	127	1	1.00907e-06	0	0	93.3553	35.3876	-0.0395772	-24921.9	62661	225.968
276211	189	0	4.79479e-08	0	0	66.0399	-31.3982	0.147211	28827.1	72519.5	735.166	81	0	7.50246e-09	0	0	66.044	-31.4009	0.147071	38600.2	69776.8	252.69	189	0	5.54504e-08	0	0	66.0405	-31.3985	0.147192	30149.4	72148.4	669.886
278382	155	0	1.12482e-09	1.2014e-11	6.007e-12	-608.944	-358.643	-1.27815	12236.2	-20775.9	-7.1627	108	0	8.77387e-11	1.2014e-11	6.007e-12	-609.577	-358.95	-1.27262	12227.6	-20765.5	240.062	155	0	1.21256e-09	2.4028e-11	1.2014e-11	-608.99	-358.666	-1.27775	12235.6	-20775.2	10.726
296486	127	1	1.00907e-06	0	0	-30.1518	92.4833	0.0944345	-65172.5	-19612.1	-104.473	200	0	5.85343e-08	0	0	-30.1624	92.4778	0.0997877	-60875.1	-20959.6	424.497	127	1	1.0676e-06	0	0	-30.1524	92.483	0.094728	-64936.9	-19686	-75.4705
298885	99	0	2.54265e-08	0	0	89.0887	189.115	-0.106457	-40660.5	18284.1	116.538	141	0	1.61422e-08	0	0	89.0882	189.117	-0.109207	-40647.7	18722.7	122.921	99	0	4.15687e-08	0	0	89.0885	189.116	-0.107525	-40655.5	18454.4	119.016
301990	102	0	2.26064e-07	0	0	126.925	128.181	0.235328	-38545.2	29492.6	78.7219	67	0	2.76175e-08	0	0	126.932	128.178	0.230351	-37458.1	31819.8	11.6423	102	0	2.53682e-07	0	0	126.926	128.18	0.234786	-38426.9	29745.9	71.4191
305955	55	0	3.12653e-07	0	0	-22.8481	86.3721	0.293956	-67597	-25547.7	329.845	49	0	3.42238e-08	0	0	-22.8553	86.3766	0.295735	-67183.3	-25662.1	678.161	55	0	3.46876e-07	0	0	-22.8489	86.3725	0.294132	-67556.2	-25559	364.211
326482	7	1	1.4154e-07	0	0	120.789	178.078	-0.277327	-36356.2	25633.9	-267.689	150	0	9.14416e-08	0	0	120.782	178.081	-0.273738	-35663.4	23533.6	23.4679	7	1	2.32982e-07	0	0	120.786	178.079	-0.275918	-36084.3	24809.6	-153.414
331759	55	0	3.48144e-07	0	0	70.0913	73.9674	-0.0230843	-52044	35235.1	-399.407	110	0	2.4769e-08	0	0	70.0922	73.976	-0.0229089	-50923.8	42383.7	-455.844	55	0	3.72913e-07	0	0	70.0913	73.968	-0.0230726	-51969.6	35709.9	-403.155
334309	167	0	1.579e-07	0	0	173.429	85.4651	-0.702013	-21300.7	38905.3	92.6724	19	0	6.81078e-08	0	0	173.422	85.467	-0.697233	-19738.6	39236.4	135.957	167	0	2.26007e-07	0	0	173.427	85.4657	-0.700573	-20830	39005.1	105.716
344535	127	1	1.07442e-06	0	0	-85.6508	-9.4376	0.210022	8921	-72696.7	-390.599	55	0	3.72913e-07	0	0	-85.6613	-9.4395	0.212366	3626.46	-73637.3	730.992	127	1	1.44733e-06	0	0	-85.6535	-9.43809	0.210626	7556.83	-72939.1	-101.614
359281	127	1	1.4559e-06	0	0	-85.9028	5.78486	0.158988	457.814	-72354.9	-152.4	94	0	1.06332e-07	0	0	-85.9049	5.79948	0.163377	-19.3008	-68334.2	144.291	127	1	1.56223e-06	0	0	-85.9029	5.78585	0.159287	425.339	-72081.3	-132.206
385767	198	0	2.62505e-09	6.007e-12	6.007e-12	-596.552	-18.4267	-0.00962659	809.902	-26224.5	64.2563	62	0	2.54285e-10	6.007e-12	6.007e-12	-595.737	-18.4719	0.0456751	814.282	-26240.3	215.011	198	0	2.87934e-09	1.2014e-11	1.2014e-11	-596.48	-18.4307	-0.00474269	810.289	-26225.9	77.57
449067	161	0	1.91412e-07	0	0	-30.0174	-249.313	-0.24467	41399.4	-3605.22	-3.146	105	0	3.04551e-08	0	0	-30.022	-249.309	-0.238573	41695.1	-3788.8	229.808	161	0	2.21867e-07	0	0	-30.018	-249.312	-0.243833	41440	-3630.42	28.8309
500171	119	0	8.42559e-08	0	0	-53.004	176.016	0.310694	-45726.2	-13539.3	127.753	21	0	6.06374e-08	0	0	-52.9981	176.021	0.308323	-44126.6	-12543.5	-180.188	119	0	1.44893e-07	0	0	-53.0015	176.018	0.309702	-45056.8	-13122.6	-1.1195
509741	7	1	2.37785e-07	0	0	-171.603	-63.0001	0.0971075	13472	-47584.2	-180.691	70	0	9.69263e-09	0	0	-171.603	-63.0073	0.0953633	13632.6	-47599.1	280.141	7	1	2.47478e-07	0	0	-171.603	-63.0004	0.0970392	13478.2	-47584.8	-162.642
513200	9	1	1.78351e-07	0	0	120.531	-189.69	-0.113094	36370.9	20847.3	54.4852	99	0	6.81769e-08	0	0	120.535	-189.687	-0.119967	34833.6	21255.6	67.1014	9	1	2.46528e-07	0	0	120.532	-189.689	-0.114995	35945.7	20960.2	57.9742
584478	167	0	3.44051e-07	0	0	-147.772	111.392	-0.251391	-24299.8	-35508.8	-63.2694	119	0	1.45635e-07	0	0	-147.772	111.381	-0.251062	-24261.1	-37781.5	60.5207	167	0	4.89686e-07	0	0	-147.772	111.389	-0.251293	-24288.3	-36184.7	-26.4537
588190	167	0	4.89686e-07	0	0	126.634	-53.1561	0.154754	26160.8	52330.4	9.13153	41	0	6.36026e-08	0	0	126.631	-53.1588	0.153305	23451.3	52648.6	243.365	167	0	5.53289e-07	0	0	126.634	-53.1564	0.154588	25849.4	52367	36.0576
605839	167	0	5.53292e-07	0	0	125.964	-33.3438	0.167328	18227.6	57719.8	120.787	98	0	8.15294e-09	0	0	125.97	-33.3481	0.16039	13951.3	57494.5	-475.527	167	0	5.61445e-07	0	0	125.964	-33.3438	0.167228	18165.5	57716.5	112.128
596781	102	0	2.64354e-07	0	0	120.248	154.953	-0.530695	-36183.1	23011.3	-198.554	93	0	1.3356e-07	0	0	120.249	154.958	-0.525983	-36043.2	23479.7	162.511	102	0	3.97914e-07	0	0	120.249	154.955	-0.529113	-36136.1	23168.5	-77.362
620357	102	0	2.64354e-07	0	0	173.186	-75.2768	0.079162	22766.9	38382.3	-139.246	93	0	1.33561e-07	0	0	173.189	-75.2864	0.0835076	22495.3	38763.5	-114.705	102	0	3.97914e-07	0	0	173.187	-75.28	0.0806206	22675.7	38510.2	-131.008
621620	201	1	2.08114e-07	0	0	90.4178	96.3853	0.0396085	-39633.6	43869.2	-294.687	163	0	6.62181e-09	0	0	90.4103	96.3881	0.0397947	-42137.5	40942.2	-452.229	201	1	2.14736e-07	0	0	90.4176	96.3854	0.0396143	-39710.9	43778.9	-299.545
607033	102	0	3.97914e-07	0	0	-26.9087	-156.225	0.511256	51101.6	-14914.5	25.0499	163	0	6.62181e-09	0	0	-26.9116	-156.224	0.510726	48972.2	-4677.39	376.931	102	0	4.04536e-07	0	0	-26.9087	-156.225	0.511248	51066.7	-14746.9	30.8098
624505	26	0	5.90035e-08	0	0	229.604	-182.072	-0.142441	23701.3	29696.7	180.373	66	0	3.39759e-08	0	0	229.609	-182.071	-0.14722	23157.3	29473.5	204.18	26	0	9.29794e-08	0	0	229.606	-182.072	-0.144187	23502.5	29615.2	189.072
631828	102	0	4.04536e-07	0	0	-136.286	-63.7801	0.296599	24015.6	-50202	143.927	183	0	4.67404e-08	0	0	-136.288	-63.7755	0.301542	21801.3	-44113.7	-147.465	102	0	4.51277e-07	0	0	-136.286	-63.7797	0.297111	23786.3	-49571.4	113.747
650512	26	0	9.58177e-08	0	0	293.602	15.1764	1.09342	-1546.66	37654.9	114.476	46	0	1.85005e-08	0	0	293.594	15.1761	1.09473	-929.293	38029.5	115.766	26	0	1.14318e-07	0	0	293.6	15.1763	1.09363	-1446.75	37715.6	114.685
828367	174	0	1.48517e-07	0	3.0035e-12	150.054	-483.091	0.36635	26345.9	8409.9	-15.8293	65	0	8.35894e-10	0	3.0035e-12	151.284	-484.531	-0.425655	27122.2	8583.63	269.11	174	0	1.49352e-07	0	6.007e-12	150.061	-483.099	0.361918	26350.2	8410.87	-14.2346
882906	7	1	2.55168e-07	0	0	-163.359	-57.7188	-0.17103	22487	-44412	382.53	92	0	1.51787e-08	0	0	-163.367	-57.7217	-0.166993	22662.5	-44626.7	303.112	7	1	2.70347e-07	0	0	-163.36	-57.719	-0.170804	22496.9	-44424.1	378.071
