#ID	time	type	mass	wm	swm	r	x	y	z	vx	vy	vz	a	ecc	inc	formation_time	collision	collision_index
133	167614	0	6.02605e-08	0	0	119.316	80.4026	-88.1571	0.340026	42008.6	39428.5	254.536	115.169	0.0387416	0.005292	0	1	127
40	179759	0	5.6833e-08	0	0	64.999	60.057	-24.8601	-0.286152	32267.8	78036.7	-96.8321	74.5544	0.12816	0.00454969	0	0	-893615488
194	181148	0	1.11296e-07	0	0	64.9997	60.914	-22.6814	-0.423616	29482.3	79216.1	187.503	74.7413	0.130319	0.00688396	0	0	-893615488
147	187864	0	4.67297e-08	0	0	92.4954	79.7793	46.8045	0.247401	-36045.8	53718.2	188.792	87.4386	0.0835514	0.00408347	0	1	94
78	236671	0	4.84977e-08	0	0	220.539	-187.444	116.199	-0.476983	-24758.6	-34695.6	265.737	215.213	0.0693471	0.0067442	0	1	9
172	242882	0	2.73832e-08	0	0	70.1271	-34.872	60.8421	0.350698	-68094.9	-39539.2	549.073	74.4746	0.0586295	0.0086037	0	1	1
97	245079	0	5.16505e-08	0	0	186.494	186.389	-6.25453	0.474579	-377.279	47259.7	-157.921	189.123	0.0437827	0.00411873	0	1	167
156	246770	0	3.91877e-08	0	0	64.9998	-17.2764	62.6618	-0.13838	-78322.6	-21586.5	229.67	68.0085	0.0442384	0.00353906	0	0	-893615488
31	250861	0	5.10121e-08	0	0	186.471	146.574	-115.27	-0.188495	28452.6	36311.1	-393.69	180.323	0.0341381	0.00859546	0	1	93
2	259850	1	2.34711e-07	0	0	99.8327	93.3481	35.3934	-0.035776	-20235.7	60092	-239.248	97.5839	0.0440772	0.00377938	0	1	127
130	262122	0	6.91167e-08	0	0	64.9999	46.1693	-45.7535	-0.168658	60943	61511.6	176.057	79.8722	0.186198	0.00329627	0	0	-893615488
81	276211	0	7.50246e-09	0	0	73.1288	66.044	-31.4009	0.147071	38600.2	69776.8	252.69	84.233	0.145215	0.00365424	0	1	189
108	278382	0	8.77387e-11	1.2014e-11	6.007e-12	707.41	-609.577	-358.95	-1.27262	12227.6	-20765.5	240.062	707.402	1.60979e-05	0.0101226	0	1	155
192	295249	0	9.86672e-08	0	0	65	57.2257	-30.8255	-0.0404693	40555.9	75208.1	110.377	76.9302	0.155078	0.00143424	0	0	-893615488
200	296486	0	5.85343e-08	0	0	97.2723	-30.1624	92.4778	0.0997877	-60875.1	-20959.6	424.497	95.4979	0.0247188	0.00669001	0	1	127
141	298885	0	1.61422e-08	0	0	209.05	89.0882	189.117	-0.109207	-40647.7	18722.7	122.921	213.112	0.0209079	0.0027916	0	1	99
67	301990	0	2.76175e-08	0	0	180.392	126.932	128.178	0.230351	-37458.1	31819.8	11.6423	192.032	0.0972944	0.00132021	0	1	102
49	305955	0	3.42238e-08	0	0	89.3492	-22.8553	86.3766	0.295735	-67183.3	-25662.1	678.161	102.102	0.163255	0.0103775	0	1	55
150	326482	0	9.14416e-08	0	0	215.177	120.782	178.081	-0.273738	-35663.4	23533.6	23.4679	206.143	0.0456164	0.00137935	0	1	7
110	331759	0	2.4769e-08	0	0	101.909	70.0922	73.976	-0.0229089	-50923.8	42383.7	-455.844	111.847	0.109515	0.00691251	0	1	55
151	334006	0	7.84564e-08	0	0	64.9998	64.9956	-0.743567	0.30115	916.39	85696.4	-187.417	77.5663	0.162002	0.00512175	0	0	-893615488
19	334309	0	6.81078e-08	0	0	193.339	173.422	85.467	-0.697233	-19738.6	39236.4	135.957	177.021	0.0925513	0.00473338	0	1	167
55	344535	0	3.72913e-07	0	0	86.1799	-85.6613	-9.4395	0.212366	3626.46	-73637.3	730.992	100.242	0.152542	0.0100889	178926	1	127
162	345141	0	8.65661e-08	0	0	64.9999	-18.6926	62.2541	0.27005	-79985.5	-24006.2	-360.712	72.4934	0.103361	0.00599343	0	0	-893615488
94	359281	0	1.06332e-07	0	0	86.1004	-85.9049	5.79948	0.163377	-19.3008	-68334.2	144.291	84.2949	0.0703942	0.00293862	0	1	127
1	363422	1	1.31475e-07	0	0	65	-59.0447	27.1792	0.0517465	-34268.2	-74491.3	-323.853	69.4209	0.0636839	0.00402887	0	0	-893615488
