#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
189	0	5.54515e-08	0	0	60.4329	-35.2345	0.26156	31982.2	73219.4	315.136	76.6198	0.144445	0.0057791	2	0.00154109	0	0	24033.6
190	0	4.22576e-08	0	0	82.2699	-19.2737	-1.08451	27240.7	66254.7	303.205	89.4711	0.168377	0.0143223	2	0.00154109	0	0	33824.1
61	0	6.53858e-08	0	0	113.786	4.60208	0.551172	997.812	57638.4	-293.334	105.556	0.0975925	0.00723411	2	0.00154109	0	0	23786
114	0	2.94687e-08	0	0	-10.637	-97.0802	0.7525	64636.4	-15565.4	-180.726	102.882	0.136428	0.00855849	2	0.00154109	0	0	52423.8
127	1	1.56223e-06	0	0	-65.1861	63.766	0.169235	-40179.2	-52685.6	-43.5043	88.9113	0.125157	0.00190559	2	0.00154109	0	132291	923.04
123	0	3.91425e-08	0	0	-12.9322	118.892	-0.0760639	-60719.4	-4564.86	1146	129.94	0.0862644	0.0188607	2	0.00154109	0	0	44027.6
58	0	4.08567e-08	0	0	31.7679	-133.508	-1.54078	49775.6	19309.1	282.454	130.983	0.144078	0.0118519	2	0.00154109	0	0	42479.4
42	0	2.62633e-08	0	0	44.1558	-123.807	1.41484	48775.5	23439.1	10.4829	123.657	0.122445	0.0108456	2	0.00154109	0	0	64558.7
183	0	4.52017e-08	0	0	105.697	68.9537	-0.480346	-29608.2	51958.9	-345.052	140.003	0.115294	0.00673071	2	0.00154109	0	0	39951.7
98	0	8.15283e-09	0	0	62.6853	132.332	0.0563397	-47401.1	24464.4	-608.783	148.54	0.0369042	0.0114385	2	0.00154109	0	0	225847
163	0	6.62181e-09	0	0	128.03	65.7274	0.504276	-26014.7	47482.3	-145.291	147.882	0.0379979	0.00435733	2	0.00154109	0	0	277321
195	0	4.75805e-08	0	0	8.31175	-142.596	8.36375	50210.2	-1125.03	1392.84	127.649	0.145749	0.0628602	2	0.00154109	0	0	35843.9
201	1	1.34307e-07	0	0	-116.042	110.327	-0.580442	-34761.7	-36270.1	47.3259	157.538	0.0168643	0.00374916	2	0.00154109	34298.6	0	14175.5
102	0	2.59764e-07	0	0	-2.92394	171.592	-0.156968	-50086.2	-6380.92	159.723	183.526	0.127051	0.00321465	2	0.00154109	0	0	7905.14
119	0	8.42556e-08	0	0	181.641	34.2473	1.26633	-10379.6	46506.2	-66.1731	188.916	0.0395996	0.00694858	2	0.00154109	0	0	24904.8
93	0	1.30325e-07	0	0	-147.116	-74.3579	0.641211	21153.3	-47911.5	-11.484	183.263	0.113143	0.0039128	2	0.00154109	0	0	15789.2
92	0	1.49413e-08	0	0	129.194	147.492	-1.01722	-34743.5	30474.5	-51.0257	199.934	0.0193066	0.00530335	2	0.00154109	0	0	143884
167	0	2.48388e-07	0	0	179.517	-64.2385	-0.349539	18251.8	40377.5	225.602	175.116	0.119836	0.00556711	2	0.00154109	0	0	8091.58
118	0	2.48931e-08	0	0	-178.557	-90.3682	-0.161374	20888.5	-40789.2	-12.6392	204.818	0.0234157	0.000853493	2	0.00154109	0	0	87184.5
70	0	9.05125e-09	0	0	-69.8079	194.857	-0.998161	-42937.8	-13592.8	-41.8953	211.623	0.0433501	0.00488039	2	0.00154109	0	0	243421
99	0	6.6786e-08	0	0	190.848	-103.127	0.778413	19064.3	38629.8	2.23998	212.638	0.0421094	0.00359307	2	0.00154109	0	0	33075.3
9	1	1.77585e-07	0	0	178.67	-145.67	1.53139	26448	31216.1	5.3524	217.33	0.0636084	0.00664289	2	0.00154109	0	0	12623.6
25	0	2.33479e-09	0	0	210.472	-103.99	2.87914	16889.5	37348.6	-419.782	225.795	0.0525242	0.0157146	2	0.00154109	0	0	973931
7	1	2.34254e-07	0	0	-168.007	-141.188	0.192527	27560.2	-32993.3	-169.851	216.678	0.0131562	0.00404972	2	0.00154109	0	0	9520.32
29	0	9.77354e-08	0	0	67.3985	205.625	-0.129381	-42749.8	11884.9	69.8348	224.686	0.058624	0.00165968	2	0.00154109	0	0	23250.1
21	0	5.82878e-08	0	0	138.483	102.591	-0.532307	-28089.3	40082.3	227.882	173.198	0.0267822	0.00565651	2	0.00154109	0	0	34400.8
