1	1	3.54255e-08	0	0	-60.5302	36.3189	0.0597817	-39251.7	-65418.4	131.945	70.5902	8.85089e-07	0.00192572	2	0.00154109	0	0	103709
3	1	3.16884e-08	0	0	76.185	-38.8978	-0.176003	31514.7	61722.7	405.597	85.5409	2.06421e-06	0.00620363	2	0.00154109	0	0	78957.9
8	1	5.24464e-08	0	0	104.824	-46.9282	0.0738839	24438.7	54589.6	214.868	114.849	5.15936e-06	0.00364962	4	0.00308217	0	0	31190.6
6	1	7.81932e-08	0	0	-182.677	-179.195	-0.446181	28059.2	-28604.9	28.2779	255.894	7.14252e-06	0.00188102	8	0.00616435	0	0	31077.5
9	1	6.62892e-08	0	0	28.9476	-187.32	-0.528301	46011.3	7110.36	17.014	189.545	3.28387e-06	0.00281108	8	0.00616435	0	0	31624.1
5	1	8.02837e-08	0	0	-13.8428	-267.111	0.783282	39140.4	-2028.26	-10.4618	267.473	9.28877e-06	0.00294062	16	0.0123287	0	0	31009.9
2	1	6.01634e-08	0	3.0035e-09	-286.719	-387.141	-1.55749	23468	-17380.5	-18.0936	481.757	2.20994e-06	0.00329179	32	0.0246574	0	0	55196.1
10	1	5.44698e-08	0	3.0035e-09	413.862	-146.753	-1.99352	10223.1	28829.2	80.7387	439.115	1.49894e-06	0.00525145	32	0.0246574	0	0	58570.4
4	1	3.86888e-08	1.2014e-08	6.007e-09	-824.344	-591.482	1.92496	11731.4	-16349.9	8.49579	1014.59	1.08131e-06	0.00194368	64	0.0493148	0	0	124880
7	1	3.07441e-08	1.2014e-08	6.007e-09	256.088	1702.41	0.707182	-15276.2	2297.99	-93.4788	1721.56	1.70995e-07	0.00606501	256	0.197259	0	0	204662
