#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
1	1	3.54255e-08	0	0	-70.5578	2.46306	0.0900633	-2661.25	-76238.5	91.4811	70.6008	1.15282e-08	0.00175083	2	0.00154109	0	0	103677
3	1	3.16884e-08	0	0	10.4291	-84.938	-0.523204	68772.5	8443.71	86.2303	85.5775	3.95872e-08	0.00623922	2	0.00154109	0	0	78890.2
8	1	5.24464e-08	0	0	-81.115	81.7355	0.0838915	-42397.2	-42075.1	-219.096	115.154	7.22059e-09	0.00373965	4	0.00308217	0	0	31025.8
6	1	7.81868e-08	0	0	-19.4484	-255.611	-0.27662	39918.6	-3037.22	22.3033	256.352	5.90255e-06	0.0012144	8	0.00616435	0	0	31288
9	1	6.57516e-08	0	0	116.402	150.077	0.410349	-36751.5	28504.9	84.4942	189.928	8.07303e-08	0.00282282	8	0.00616435	0	0	31753.9
5	1	7.44825e-08	0	0	-227.679	-141.242	0.292241	20642.7	-33276	121.7	267.93	9.04211e-06	0.00329368	16	0.0123287	0	0	33309.6
2	1	4.62399e-08	0	3.0035e-09	-328.629	352.687	0.604036	-21358.8	-19901.7	-91.5054	482.064	1.24052e-08	0.00337559	32	0.0246574	0	0	72456.2
10	1	4.32993e-08	0	3.0035e-09	434.497	65.4386	-1.23518	-4553.57	30237.1	133.919	439.399	2.17957e-08	0.0052041	32	0.0246574	0	0	73579.1
4	1	3.44375e-08	1.2014e-08	6.007e-09	561.9	845.04	-1.95332	-16755.1	11141.2	5.54092	1014.8	7.8017e-10	0.00194442	64	0.0493148	0	0	140233
7	1	3.04037e-08	1.2014e-08	6.007e-09	734.319	-1557.29	5.20802	13971.8	6588.51	81.2212	1721.74	8.50521e-10	0.00606592	256	0.197259	0	0	206910
