#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
190	0	4.22576e-08	0	0	-57.7699	-46.4501	-1.06382	55544.2	-56537.9	-1300.37	85.5864	0.165851	0.0229529	2	0.00154109	0	0	33322.7
61	0	6.53858e-08	0	0	113.707	7.12314	0.224082	629.847	57533.7	-479.218	105.302	0.109853	0.00872072	2	0.00154109	0	0	23900.8
114	0	2.94687e-08	0	0	-86.9797	4.58498	0.523487	2241.44	-73582.8	-409.278	102.349	0.17011	0.00786808	2	0.00154109	0	0	52364.2
127	1	1.56223e-06	0	0	42.7931	79.4354	0.0460943	-57696.7	31271.5	67.9086	85.5925	0.0542261	0.00115285	2	0.00154109	0	132291	908.349
123	0	3.91425e-08	0	0	-112.525	-79.19	1.69695	27307.7	-45427	-657.156	129.95	0.0927614	0.0181507	2	0.00154109	0	0	44020.9
58	0	4.08567e-08	0	0	-139.885	1.47234	-2.03827	-7134.28	-51694.6	-102.008	130.431	0.145413	0.0145696	2	0.00154109	0	0	42349.2
42	0	2.62633e-08	0	0	83.6565	72.4456	-0.953469	-44224.3	46274.4	-534.743	123.472	0.114551	0.0123057	2	0.00154109	0	0	64010.3
183	0	4.52017e-08	0	0	51.3748	-122.864	0.141124	49738.3	27400.3	-206.635	139.485	0.116326	0.00370057	2	0.00154109	0	0	39788
98	0	8.15283e-09	0	0	138.697	-29.9808	1.01008	11056.8	53836.9	-813.246	148.363	0.0447618	0.0163531	2	0.00154109	0	0	226387
163	0	6.62181e-09	0	0	36.4761	136.748	-0.39247	-53239.8	14227.2	-387.949	148.383	0.0461917	0.00756496	2	0.00154109	0	0	278644
195	0	4.75805e-08	0	0	131.291	-58.7996	4.67532	16582.6	46952.1	-2666.76	127.5	0.152949	0.0604666	2	0.00154109	0	0	35927.7
201	1	1.34842e-07	0	0	-5.88713	-152.751	0.46806	52538.7	-571.635	-80.9294	157.13	0.0387341	0.00339056	2	0.00154109	34298.6	0	14192.7
102	0	2.62521e-07	0	0	92.6758	161.166	0.852319	-43126.1	16984.1	198.774	180.876	0.148715	0.00679273	2	0.00154109	0	0	7779.56
119	0	8.42559e-08	0	0	-100.633	154.272	-0.789007	-40585.6	-25141.9	10.4494	188.31	0.0319989	0.00429544	2	0.00154109	0	0	24777.9
93	0	1.31813e-07	0	0	48.2531	-170.983	0.0922017	47860.2	6217.78	192.789	178.956	0.145525	0.00399505	2	0.00154109	0	0	15454.9
92	0	1.49501e-08	0	0	-134.432	143.812	0.832316	-33895.8	-31106.6	-121.877	199.688	0.0168673	0.00501011	2	0.00154109	0	0	144154
167	0	2.60358e-07	0	0	186.408	35.0963	0.132117	-4520.31	43784.6	0.00503539	171.584	0.134014	0.000698923	2	0.00154109	0	0	7678.94
118	0	2.48931e-08	0	0	-106.277	173.514	2.04956	-38551.3	-23934.2	96.7773	207.594	0.0206884	0.0103086	2	0.00154109	0	0	87853.4
70	0	9.33085e-09	0	0	-207.139	-1.22922	-1.5137	-2003.77	-44525.3	-346.894	207.488	0.050965	0.0104145	2	0.00154109	0	0	234568
99	0	6.79673e-08	0	0	212.191	1.98585	0.526778	-2248.51	44085.2	85.2013	213.569	0.0420741	0.00321004	2	0.00154109	0	0	32591.2
9	1	1.78268e-07	0	0	203.125	-111.855	-0.219231	20457.9	34714.2	-244.512	213.995	0.0885151	0.00611663	2	0.00154109	0	0	12529.5
25	0	2.49776e-09	0	0	-83.4291	187.711	3.83891	-41462.5	-20501.6	333.07	220.895	0.0809042	0.0203154	2	0.00154109	0	0	897965
7	1	2.34947e-07	0	0	116.538	-182.809	0.496961	35595.2	24645.3	39.8065	214.454	0.0395877	0.00250389	2	0.00154109	0	0	9469.37
29	0	9.88252e-08	0	0	100.327	197.699	-0.0322433	-40058.8	16647.6	-144.399	225.181	0.0772272	0.00335244	2	0.00154109	0	0	23158.2
21	0	6.05093e-08	0	0	166.841	-25.3203	-0.407049	8880.42	49176.6	123.402	173.201	0.0380171	0.00350143	2	0.00154109	0	0	33137.5
196	0	2.78192e-08	0	0	-127.924	-109.076	1.35872	33856.2	-36441.2	-509.971	170.253	0.0444681	0.0127927	2	0.00154109	0	0	71210.2
50	0	1.94358e-08	0	0	59.5403	219.223	-0.416908	-41129.7	10733.3	60.4204	226.945	0.00997903	0.00231027	2	0.00154109	0	0	117189
41	0	5.30259e-08	0	0	-71.0075	161.316	-0.622915	-42774.6	-18845.3	-88.4814	165.85	0.0627294	0.00400978	2	0.00154109	0	0	36749.2
71	0	3.24049e-08	0	0	151.213	-189.34	1.86085	31010.7	26016.3	-373.121	234.456	0.0413502	0.0118573	2	0.00154109	0	0	71399.6
