#ID	Type	M	WM	SWM	x	y	z	xv	vy	vz	a	e	i	N	dt	init_time	formation_time	P
61	0	6.53858e-08	0	0	-79.6805	80.8868	0.547587	-37425.5	-42452.1	298.458	101.846	0.134397	0.00741058	2	0.00154109	0	0	23570.4
114	0	2.94687e-08	0	0	-70.5239	-60.825	0.459926	53978.7	-42434.2	499.548	100.002	0.203158	0.00972451	2	0.00154109	0	0	51780.6
127	1	1.56551e-06	0	0	-12.6388	68.6167	-0.00681306	-75391.6	-13999.5	-19.5044	69.6677	0.00207107	0.000272591	2	0.00154109	0	132291	814.962
123	0	3.91425e-08	0	0	-72.8215	-104.932	0.713247	39499.1	-40074	-283.169	125.755	0.185483	0.00832254	2	0.00154109	0	0	43363.7
58	0	4.08567e-08	0	0	-43.2009	-141.799	-0.345032	43475.8	-19322.4	-544.688	125.279	0.219104	0.0114864	2	0.00154109	0	0	41381.9
42	0	2.63462e-08	0	0	-95.5728	-54.9217	0.708036	21988.2	-58913.1	729.972	117.4	0.174413	0.0124807	2	0.00154109	0	0	62176.4
98	0	8.15298e-09	0	0	104.223	55.6882	-0.963596	-29836.3	57702.5	138.979	150.292	0.214125	0.00845894	2	0.00154109	0	0	228368
195	0	4.75805e-08	0	0	39.0396	102.082	0.173014	-63786.4	13681.2	4969.03	126.89	0.205273	0.0771892	2	0.00154109	0	0	35858.4
201	1	2.08116e-07	0	0	-31.6663	-156.734	3.37026	47969.8	-671.597	-85.7195	144.863	0.210768	0.0211818	2	0.00154109	34298.6	0	8796.81
102	0	4.51394e-07	0	0	-61.1196	160.437	-0.645574	-43500.3	-19932.9	-243.353	164.575	0.0785172	0.00653436	2	0.00154109	0	596782	4344.48
92	0	1.51787e-08	0	0	-41.294	-153.917	0.822747	52397.5	-12224.4	-280.867	181.695	0.127187	0.00722395	2	0.00154109	0	0	134634
167	0	5.533e-07	0	0	89.4268	-94.8949	0.539608	33848.4	47812.1	-35.0447	143.153	0.216151	0.00414439	2	0.00154109	0	511432	3279.24
118	0	2.49335e-08	0	0	204.481	-34.2109	-1.68866	10398.5	40820.8	-126.513	187.707	0.133561	0.00847182	2	0.00154109	0	0	83257.1
9	1	2.46783e-07	0	0	-116.173	-131.615	-0.0674198	38247.1	-34264.5	-149.819	201.026	0.12693	0.00294	2	0.00154109	0	0	8731.93
25	0	9.01094e-09	0	0	-159.613	117.801	6.11991	-24940.6	-40669	-892.187	220.488	0.131573	0.0347936	2	0.00154109	0	0	249861
7	1	2.55168e-07	0	0	-93.177	172.85	-0.174787	-35512.5	-25617.4	15.133	181.215	0.154297	0.000919783	2	0.00154109	0	0	8065.8
29	0	9.88933e-08	0	0	5.71184	210.963	7.43911	-44298.9	-4872.83	-822.319	215.742	0.138345	0.0378291	2	0.00154109	0	0	22467.6
